"","event","white","black","whiteelo","blackelo","whiterd","blackrd","timecontrol","date","time","whiteclock","blackclock","eco","plycount","result","moves","comp"
"87","FICS rated blitz game","blik","olc","2241","2135","32.8","27.8","180+0","2017.01.31","06:37:00","0:03:00.000","0:03:00.000","E92","39","1-0","1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Bd3 c5 6. c3 Nc6 7. Ne2 Qb6 8. Nf3 cxd4 9. cxd4 {Black forfeits by disconnection} 1-0","white"
"88","FICS rated standard game","Sillycon","grandkhvtiso","2377","2346","40.6","138.6","900+0","2017.01.31","06:19:00","0:15:00.000","0:15:00.000","E04","100","1/2-1/2","1. e4 c6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Bf5 5. Ng3 Bg6 6. h4 h6 7. Nf3 Nd7 8. h5 Bh7 9. Bd3 Bxd3 10. Qxd3 Ngf6 11. Bf4 e6 12. O-O-O Be7 13. c4 b5 14. c5 a5 15. Kb1 a4 16. a3 Nd5 17. Bd2 Qb8 18. Qc2 b4 19. Qd3 bxa3 20. Qxa3 Ra7 21. Ka2 Rb7 22. Rb1 Qa8 23. Rhc1 Rb3 {White forfeits on time} 0-1","white"
"89","FICS rated standard game","kamenozrout","ptrmichael","2118","2128","84.3","83.7","900+0","2017.01.31","05:36:00","0:15:00.000","0:15:00.000","A40","57","1-0","1. d4 d5 2. Bg5 h6 3. Bh4 c6 4. c3 Qb6 5. Qb3 Nf6 6. Bxf6 exf6 7. Qxb6 axb6 8. Nd2 Be6 9. e4 dxe4 10. a3 f5 11. Bc4 Bxc4 12. Nxc4 b5 13. Ne3 f4 14. Nc2 Na6 15. h4 Be7 16. Ne2 Bd6 17. O-O-O Nc7 18. Nb4 O-O 19. d5 Bxb4 20. cxb4 Nxd5 21. Kc2 e3 22. f3 g5 23. hxg5 hxg5 24. Rh5 f6 25. Rdh1 Rfb8 26. Rh7 Nb6 27. Nd4 Rd8 28. Ne6 Rd7 29. Rxd7 Nxd7 30. Rd1 Ne5 31. Nc5 b6 32. Ne4 Kg7 33. Rd6 e2 34. Kd2 f5 35. Re6 Nc4+ 36. Kxe2 fxe4 37. Rxe4 Kf7 38. Rd4 Nxb2 39. Rd6 Re8+ 40. Kf2 Re6 41. Rd2 Nc4 42. Rd7+ Kg6 43. g3 Nxa3 44. gxf4 gxf4 45. Rd4 Rf6 {White forfeits by disconnection} 0-1","white"
"90","FICS rated standard game","MortimerBlackwell","Awesomerock","2387","1848","37.5","146.9","1200+10","2017.01.31","05:38:00","0:20:00.000","0:20:00.000","C40","16","1-0","1. e4 d5 2. exd5 Nf6 3. d4 e6 4. dxe6 Bxe6 5. Nc3 Bb4 6. Nf3 Ne4 7. Qd3 Qd5 8. Be2 Qf5 9. Qe3 Nd7 {White forfeits by disconnection} 0-1","white"
"91","FICS rated standard game","MrsLurking","zhuziyu","2311","1798","42.8","67.8","1800+0","2017.01.31","05:39:00","0:30:00.000","0:30:00.000","C06","17","1-0","1. d4 Nf6 2. g3 g6 3. Bg2 d5 4. Nf3 Bg7 5. O-O O-O 6. a4 Nc6 7. a5 Bf5 8. Bf4 Ne4 9. Ne5 Nxe5 10. Bxe5 f6 11. Bf4 e5 12. Be3 Bg4 13. dxe5 Be6 14. a6 b6 15. exf6 Bxf6 16. Qc1 Be5 17. c4 Qf6 18. Ra2 Bd4 19. cxd5 Bxd5 20. Bxe4 Bxa2 21. Bxd4 Qxd4 22. Bxa8 Rxa8 23. Qxc7 Bc4 24. Qc6 Rd8 25. b4 Bxa6 26. b5 Bc8 27. Qc7 Bh3 28. e3 Qd3 29. Re1 Qd1 30. Qc4+ Kg7 31. Qc3+ Kf7 32. e4 Qd3 33. Qc7+ Rd7 34. Qf4+ Kg8 35. Qb8+ Kg7 36. Qe5+ Kh6 37. Nc3 Qf3 38. Qf4+ Qxf4 39. gxf4 Kg7 40. Nd5 Be6 41. Ne3 Kf6 42. Ra1 Rc7 43. Nd5+ Bxd5 44. exd5 Kf5 45. Ra4 Rd7 46. Rd4 Rd6 47. Kg2 Kg4 48. h3+ Kf5 49. f3 Kf6 50. Rd1 h6 51. h4 Kf5 52. Kg3 h5 53. Rd4 Kf6 54. Rd1 Kf5 55. Rd3 Kf6 56. Rd4 Kf5 57. Rd1 Kf6 58. Ra1 Rxd5 59. Rxa7 Rxb5 60. Rc7 Rc5 61. Rb7 b5 62. Rb6+ Kf5 63. Rb7 Kf6 64. Rb6+ Kf7 65. Rb7+ Ke6 66. Rb6+ Kf7 67. Rb7+ Ke6 68. Rb6+ Kd5 69. Rxg6 Kc4 70. Rf6 b4 71. f5 b3 72. Rb6 Rxf5 73. f4 Rb5 74. Rc6+ Rc5 75. Rb6 Rb5 76. Rc6+ Kd3 77. Rc1 b2 78. Rb1 Kc2 79. Rxb2+ Kxb2 80. f5 Rxf5 {White resigns} 0-1","white"
"92","FICS rated standard game","zhuziyu","MortimerBlackwell","1799","2386","68.1","37.6","1800+10","2017.01.31","04:18:00","0:30:00.000","0:30:00.000","B19","46","0-1","1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d3 Nf6 5. Nc3 d6 6. Bg5 h6 7. Be3 Nd4 8. Bxd4 exd4 9. Ne2 Bg4 10. Ng3 d5 11. exd5 O-O 12. O-O Nxd5 13. h3 Be6 14. Ne4 Bb6 15. Ne5 Re8 16. f4 Qe7 17. f5 Ne3 18. Qf3 Bxc4 19. Nxc4 Nxc4 20. f6 Qe6 21. fxg7 f5 22. Ng3 Nd2 23. Nxf5 Nxf3+ {White resigns} 0-1","black"
"93","FICS rated standard game","nikst","JuniorLurking","2015","2126","50.3","34.9","900+0","2017.01.31","04:49:00","0:15:00.000","0:15:00.000","D00","90","0-1","1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3 Nc6 7. O-O Bf5 8. Nbd2 Be7 9. Re1 Nd6 10. Nf1 O-O 11. Bf4 Bg6 12. c3 {Black resigns} 1-0","black"
"94","FICS rated standard game","BlackberryClassic","Bliep","2218","2383","61.9","48.2","1200+0","2017.01.31","04:32:00","0:20:00.000","0:20:00.000","B01","18","0-1","1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 g6 5. Nf3 Bg7 6. Bc4 Nf6 7. O-O O-O 8. Ne5 e6 9. b3 Nbd7 10. Ba3 Re8 11. f4 Nb6 12. Bb5 c6 13. Be2 Nbd5 14. Qd3 Qc7 15. Bc5 a5 16. Ne4 Nxe4 17. Qxe4 b6 18. Ba3 a4 19. Rfe1 axb3 20. axb3 f6 21. c4 fxe5 22. cxd5 cxd5 23. Qd3 Ba6 24. Qd2 Bxe2 25. Rxe2 exd4 26. Rc1 Qd7 27. Bb2 Ra2 28. Qd3 e5 29. fxe5 Bxe5 30. Rf2 Qg4 31. Qb5 Qe6 32. Rc6 Qg4 33. Rxb6 Rd8 34. g3 Rxb2 35. Rxb2 d3 36. Rd2 Bd4+ 37. Kg2 Qe4+ 38. Kh3 Qf5+ 39. g4 Qf3+ 40. Kh4 Be3 41. Rxg6+ hxg6 42. Qxd3 Kf7 43. Qxd5+ Rxd5 {White resigns} 0-1","black"
"95","FICS rated standard game","jaguarchessking","GriffySr","1878","2123","30.8","24.4","900+0","2017.01.31","04:23:00","0:15:00.000","0:15:00.000","D02","160","0-1","1. d4 g6 2. g3 Bg7 3. Bg2 d5 4. Nf3 Nf6 5. O-O O-O 6. Nc3 Nbd7 7. b4 a5 8. bxa5 Rxa5 9. Bd2 Ng4 10. e4 dxe4 11. Nxe4 Rd5 12. c4 Rh5 13. h3 Ngf6 14. Nxf6+ Nxf6 15. g4 Nxg4 16. hxg4 Bxg4 17. Qc2 c5 18. Qe4 Be6 19. Qxb7 Bxc4 20. Rfe1 e6 21. Qa7 Bxd4 22. Nxd4 Qxd4 23. Be3 Qh4 24. f3 Qh2+ 25. Kf2 Rb8 26. Qa3 Qh4+ 27. Kg1 Rc8 28. Qa7 Bd3 29. Qd7 Rd8 30. Qc7 c4 31. Bb6 Rdd5 32. Qb8+ Kg7 33. Bf2 Qg5 34. f4 Qg4 35. Qb2+ Kf8 36. Qb8+ Ke7 37. Rad1 g5 38. Be3 h6 39. fxg5 hxg5 40. Bc1 Rd8 41. Ba3+ Ke8 42. Qb5+ Rd7 43. Qb8+ Rd8 44. Qb5+ Rd7 45. Bb2 Qg3 46. Be5 Qh4 47. Qb8+ Ke7 48. Bg7 Rd8 49. Qb4+ Rd6 50. Be5 f5 51. Qxd6+ Kf7 52. Qd7+ {Black resigns} 1-0","black"
"96","FICS rated blitz game","Geforce","pikozrout","1941","2279","20.0","32.2","300+0","2017.01.31","04:30:00","0:05:00.000","0:05:00.000","C50","46","0-1","1. d4 d5 2. c4 c6 3. Nf3 g6 4. Nc3 Nf6 5. cxd5 cxd5 6. Bf4 Bg7 7. e3 O-O 8. Be2 Nc6 9. O-O Bf5 10. Qb3 Na5 11. Qb4 Bc8 12. Ne5 Nc6 13. Nxc6 bxc6 14. Qc5 Bb7 15. Rac1 a5 16. Bd3 Nh5 17. Bg5 h6 18. Bxe7 Qb8 19. Bd6 Qd8 20. Be2 Re8 21. Bxh5 gxh5 22. Rfe1 Re6 23. Nb5 cxb5 24. Be5 Bxe5 25. dxe5 b4 26. Qc7 Qe7 27. f4 a4 28. Red1 Qxc7 29. Rxc7 Rb8 30. Kf2 h4 31. Kf3 f6 32. Rd4 Ba6 33. exf6 Rxf6 34. b3 a3 35. Rd7 Bb5 36. Rxb4 Be2+ 37. Kxe2 Rxb4 38. Rxd5 Rc6 39. Kd3 Rg6 40. Rd8+ Kg7 41. Rd7+ Kf8 42. Kc3 Re4 43. Kd3 Re8 44. g4 Rge6 45. Kc4 Rxe3 46. f5 Re2 47. Rh7 Rxa2 48. Rh8+ Kf7 49. Rh7+ Kg8 50. Rxh6 Rxh2 51. Rg6+ Kf7 52. g5 a2 53. Rf6+ Ke7 54. Re6+ Kd7 55. Ra6 Rg2 56. g6 h3 57. Ra7+ Kc6 58. Ra6+ Kb7 59. Rxa2 Rxa2 60. b4 h2 {White resigns} 0-1","black"
"97","FICS rated blitz game","Floyd","BlackberryClassic","2317","1727","42.3","43.1","300+0","2017.01.31","04:30:00","0:05:00.000","0:05:00.000","C42","23","1-0","1. e4 c6 2. Nf3 d5 3. exd5 cxd5 4. d4 Nc6 5. Nc3 Bg4 6. Be2 e6 7. O-O Bd6 8. h3 Bh5 9. Bg5 Nf6 10. Ne5 Bxe2 11. Nxe2 Nxe5 12. dxe5 Bxe5 13. c3 O-O 14. Kh1 Rc8 15. f4 Bd6 16. Nd4 h6 17. Bh4 Be7 18. Re1 Ne4 19. Bxe7 Qxe7 20. Qf3 Qh4 21. Rxe4 dxe4 22. Qxe4 Rfd8 23. Qxb7 Rb8 24. Qc7 Rxb2 25. Rf1 Rxa2 26. Nf3 Qf6 27. Ne5 Rdd2 28. Rb1 Rxg2 29. Rb8+ Kh7 30. Nxf7 Rh2+ 31. Kg1 Qg6+ 32. Kf1 Rh1# {White checkmated} 0-1","white"
"98","FICS rated standard game","GriffySr","jaguarchessking","2136","1865","24.4","30.8","900+0","2017.01.31","04:14:00","0:15:00.000","0:15:00.000","B01","86","0-1","1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. f4 d6 5. Nf3 Bg4 6. Be3 Nd7 7. h3 Bxf3 8. Qxf3 Ngf6 9. O-O-O O-O 10. Bc4 b5 11. Bb3 a5 12. e5 Nd5 13. Nxd5 cxd5 14. Bxd5 Rb8 15. e6 Nf6 16. exf7+ Kh8 17. Be6 d5 18. f5 a4 19. fxg6 a3 20. Bf4 axb2+ 21. Kxb2 Ra8 22. gxh7 Qa5 23. Qb3 Qd8 24. Be5 Qb6 25. Bxf6 Qxe6 26. Bxg7+ Kxg7 27. Rde1 Qf5 28. Qg3+ Qg6 29. Qxg6+ Kxg6 30. h8=Q Rxh8 31. Rhf1 Rhf8 32. Rxe7 Kg7 33. g4 Ra4 34. c3 b4 35. Kb3 Ra3+ 36. Kxb4 Rxa2 37. Kc5 Rc2 38. Rf3 Rc1 39. Kxd5 {Black resigns} 1-0","white"
"99","FICS rated standard game","jaguarchessking","GriffySr","1851","2150","30.9","24.5","900+0","2017.01.31","04:01:00","0:15:00.000","0:15:00.000","D02","103","1-0","1. e4 d5 2. Nc3 dxe4 3. Nxe4 Nf6 4. Qe2 Nxe4 5. Qxe4 f5 6. Qc4 Nc6 7. Bd3 e5 8. c3 e4 9. Bc2 Qg5 10. Bb3 Qxg2 11. d4 Qxh1 12. Bg5 Qxg1+ 13. Kd2 Qxg5+ 14. Kc2 Qf4 15. Rd1 Qxf2+ 16. Rd2 Qe1 17. Qf7+ Kd8 18. d5 Ne5 19. Qe6 Nf3 {White resigns} 0-1","black"
"100","FICS rated standard game","GriffySr","jaguarchessking","2164","1837","24.5","31.0","900+0","2017.01.31","03:49:00","0:15:00.000","0:15:00.000","D90","120","0-1","1. e4 c5 2. Nc3 g6 3. d4 cxd4 4. Qxd4 Nf6 5. e5 Nc6 6. Qf4 Nh5 7. Qe4 Bg7 8. Nf3 O-O 9. g4 d5 10. exd6 exd6 11. Bg5 Nf6 12. Bxf6 Qxf6 13. O-O-O Be6 14. Rxd6 Rad8 15. Rd3 Rxd3 16. Bxd3 Re8 17. g5 Qd8 18. Re1 Qb6 19. Qe3 Qa5 20. Bc4 Nb4 21. Bxe6 Rxe6 22. Ne4 Nxa2+ 23. Kb1 Nb4 24. Qa3 Qb6 25. h4 a5 26. Qe3 Qc6 27. c3 Nd5 28. Qd3 b5 29. Nd4 Bxd4 30. Qxd4 Kf8 31. Rd1 a4 32. Nc5 Rd6 33. Qh8+ Ke7 34. Re1+ Re6 35. Nxe6 fxe6 36. Qxh7+ Kd6 37. Qf7 Nc7 38. Qf8+ Kd5 39. Rd1+ Kc4 40. Qb4# {Black checkmated} 1-0","white"
"101","FICS rated standard game","Tosea","GriffySr","1863","2162","32.4","24.5","900+0","2017.01.31","03:37:00","0:15:00.000","0:15:00.000","B10","64","0-1","1. e4 c5 2. Nf3 d6 3. c3 Nf6 4. Be2 g6 5. O-O Bg7 6. Bb5+ Nc6 7. d4 Qb6 8. Ba4 cxd4 9. cxd4 O-O 10. d5 Na5 11. Nc3 Bd7 12. Rb1 Rac8 13. Bc2 Nc4 14. h3 e6 15. dxe6 Bxe6 16. Ng5 a6 17. Bb3 Qc6 18. Re1 b5 19. Bf4 d5 20. Nxe6 fxe6 21. exd5 Nxd5 22. Nxd5 exd5 23. g3 Kh8 24. Re7 Qf6 25. Re2 g5 26. Bd2 Nxb2 27. Rxb2 Qxb2 28. Bb4 Qc1 29. Bxf8 Qxd1+ 30. Bxd1 Bxf8 31. Kg2 d4 32. Re5 Rc1 33. Bb3 h6 34. Kf3 Bc5 35. Ke2 Kg7 36. h4 gxh4 37. gxh4 Rc3 38. Re6 a5 39. h5 d3+ 40. Kd1 Bb4 41. Rg6+ Kf8 42. Rf6+ Ke7 43. Re6+ Kd7 44. Rxh6 Rc5 45. Rh7+ Kd6 46. Rh6+ Ke5 47. Re6+ Kd4 48. Rd6+ Kc3 49. Rd5 Rc7 50. h6 Rc6 51. Rd8 Rxh6 52. Bd5 Rg6 53. Rg8 Rf6 54. f3 Rh6 55. f4 Rh4 56. Rg3 Rxf4 57. Rf3 Rg4 58. Rf1 Bc5 59. a3 Bxa3 60. Ke1 Bc5 61. Rh1 Ra4 62. Bf3 Ra1+ 63. Bd1 a4 64. Rh6 Bb4 65. Rh1 a3 66. Kf2 Rb1 67. Rh6 a2 68. Be2 a1=Q 69. Rc6+ Kb3 70. Re6 Qb2 71. Kf3 {Black forfeits on time} 1-0","black"
"102","FICS rated standard game","GriffySr","Tosea","2160","1865","24.5","32.5","900+0","2017.01.31","03:28:00","0:15:00.000","0:15:00.000","B06","77","1-0","1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. O-O Nf6 6. d4 exd4 7. Nxd4 Bd7 8. Nc3 Nxd4 9. Qxd4 Bxa4 10. Nxa4 Be7 11. Bg5 O-O 12. Nc3 Nxe4 13. Bxe7 Nxc3 14. Rfe1 Nb5 15. Qh4 Qd7 16. c4 Na7 17. Bg5 Rfe8 18. Qg3 Re6 19. Re3 Rae8 20. Rae1 Rxe3 21. Rxe3 Rxe3 22. Bxe3 Qa4 23. h3 b6 24. Bh6 g6 25. Qc3 f6 26. Qxf6 Qd1+ 27. Kh2 {Black resigns} 1-0","white"
"103","FICS rated standard game","Tosea","GriffySr","1868","2157","32.6","24.6","900+0","2017.01.31","03:23:00","0:15:00.000","0:15:00.000","A00","38","0-1","1. e4 c5 2. Nc3 d6 3. Nf3 Nf6 4. d4 cxd4 5. Nxd4 a6 6. Bg5 e6 7. Qf3 h6 8. Bxf6 Qxf6 9. Qxf6 gxf6 10. Be2 Bd7 11. O-O-O Nc6 12. f4 Be7 13. a4 Nxd4 14. Rxd4 Rg8 15. g3 Rc8 16. Rhd1 Kf8 17. f5 Kg7 18. Rb4 Rc7 19. Rb6 Rgc8 20. Bf3 Rb8 21. Be2 Rbc8 22. Kb1 Rf8 23. h4 Rd8 24. a5 Bc8 25. Rd3 Rc6 26. Rxc6 bxc6 27. fxe6 fxe6 28. Na4 d5 29. exd5 Rxd5 30. Rc3 Bb4 31. Rxc6 Bd7 32. Rc7 Bxa5 33. Ra7 Kg6 34. Nc3 Bxc3 35. bxc3 Bc8 36. Rc7 Rd8 37. c4 e5 38. Kb2 Kf5 39. c5 Rg8 40. c6 a5 41. Ra7 Rxg3 42. Ra8 Be6 43. c7 Rg7 44. c8=Q Bxc8 45. Rxc8 Ra7 46. Rh8 Kg6 47. h5+ Kg5 48. Rg8+ Kf5 49. Rg6 Rb7+ 50. Kc1 Rh7 51. Bg4+ Kf4 52. Be6 e4 53. Rxf6+ Ke5 54. Rg6 Kd4 55. Bb3 Ra7 56. Rxh6 a4 57. Rd6+ Ke5 58. Re6+ Kd4 59. Ba2 Ra5 60. Rd6+ Kc3 61. Rc6+ Kb4 62. c3+ Ka3 63. Bf7 e3 64. h6 Rf5 65. h7 Rf1+ 66. Kc2 Rh1 67. Bg8 Rh2+ 68. Kd3 e2 69. Re6 Rh3+ 70. Kxe2 Kb2 71. Re3 Rh4 72. Kd3 a3 73. Re2+ Kb1 74. Rg2 Rh3+ 75. Ke4 Rh5 76. Kd4 Kc1 77. Ra2 Rh4+ 78. Kd3 Rh3+ 79. Kc4 Rh4+ 80. Kb3 Rh3 81. Kb4 Rh4+ 82. c4 Kb1 83. Rxa3 Kb2 84. Ra4 Kc1 85. Kc3 Rh3+ 86. Kd4 Kd2 87. Ra2+ Kc1 88. c5 Rh4+ 89. Ke5 Kb1 90. c6 Rh5+ 91. Kf6 Rxh7 92. Bxh7+ Kxa2 93. Ke5 Kb2 94. c7 Kc1 95. c8=Q+ Kd1 96. Bd3 {Black resigns} 1-0","black"
"104","FICS rated standard game","GriffySr","Tosea","2154","1871","24.6","32.6","900+0","2017.01.31","03:09:00","0:15:00.000","0:15:00.000","B23","79","1-0","1. d4 Nf6 2. e3 g6 3. h4 d5 4. c4 dxc4 5. Bxc4 c5 6. Nc3 cxd4 7. Qxd4 Qxd4 8. exd4 Bg7 9. Nb5 Na6 10. Nf3 O-O 11. Bd2 Ne4 12. h5 Nxd2 13. Kxd2 Nb4 14. h6 Bh8 15. Rae1 Nc6 16. d5 Rd8 17. Kc1 Na5 18. b3 Bf6 19. Kd2 a6 20. Nc7 Nxc4+ 21. bxc4 Rb8 22. Ke3 Bf5 23. c5 Rd7 24. d6 exd6 25. Nd5 Bh8 26. cxd6 Be6 27. Nc7 Bxa2 28. Rd1 Rbd8 29. Rd2 Bc4 30. Rh4 Bf1 31. Re4 Bxg2 32. Kf4 f5 33. Re3 Bxf3 34. Kxf3 Bf6 35. Ne6 Rc8 36. Rd5 Rc6 37. Nc5 Rdxd6 38. Rxd6 Rxd6 39. Nxb7 Rc6 40. Kg2 Kf7 41. f4 Rc2+ 42. Kf3 Rc3 43. Nd8+ Kg8 44. Nb7 Rxe3+ 45. Kxe3 Kf7 46. Nd6+ Ke6 47. Nc4 Be7 48. Nb2 a5 49. Na4 Bf8 50. Kf3 Bxh6 51. Nb6 Bf8 52. Na4 Kd5 53. Nb2 Bg7 54. Nd3 a4 {White resigns} 0-1","white"
"105","FICS rated blitz game","oldman","josephalee","2562","2427","38.6","67.5","300+1","2017.01.31","03:01:00","0:05:00.000","0:05:00.000","B50","141","1-0","1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5 e6 7. Qd2 a6 8. O-O-O Bd7 9. f4 b5 10. Bxf6 gxf6 11. Kb1 Qb6 12. Nxc6 Bxc6 13. Qe1 Ra7 14. f5 h5 15. Bd3 Rg8 16. Qh4 b4 17. Ne2 Qc5 18. Ng3 Rg5 19. Nxh5 Qe5 20. Qf2 Rb7 21. Nf4 Rg4 22. g3 Be7 23. Be2 Rg7 24. Bxa6 {Black forfeits on time} 1-0","white"
"106","FICS rated standard game","Tosea","GriffySr","1857","2168","32.7","24.6","900+0","2017.01.31","03:02:00","0:15:00.000","0:15:00.000","C79","53","1-0","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. Be3 a6 7. Qd2 Nf6 8. O-O-O Be7 9. f3 b5 10. g4 Nxd4 11. Qxd4 Bb7 12. g5 Nh5 13. Kb1 Rc8 14. Qd2 b4 15. Na4 O-O 16. b3 Bc6 17. Nb6 Rcd8 18. Nd5 Bxd5 19. exd5 Bc5 20. Bxc5 Qxc5 21. f4 g6 22. Be2 Rfe8 23. Bxa6 Ra8 24. Be2 Qa7 25. a4 bxa3 26. Ka2 Ng7 27. Bf3 Rab8 28. Rhe1 Rec8 29. Be4 Qc7 30. Rf1 exd5 31. Qxd5 Ne6 32. Rf3 Nxf4 33. Qd6 Ne6 34. h4 Rd8 35. Qxc7 Nxc7 36. Rfd3 Re8 37. Bf3 Na6 38. Kxa3 Nc5 39. Rc3 Re5 40. b4 Ne4 41. Re3 Ra8+ 42. Kb2 Rb8 43. Rde1 d5 44. c3 Kg7 45. Bxe4 Rbe8 46. c4 dxe4 47. Kc3 h6 48. c5 hxg5 49. hxg5 Rxg5 50. Rxe4 Rc8 51. Re5 Rg3+ 52. Kc4 Rg4+ 53. R5e4 Rg2 54. Re8 Rc7 55. R1e7 Rc6 56. Re2 Rg1 57. Re1 Rg2 58. Kb5 Rf6 59. R8e5 Rg4 60. R1e4 Rg3 {Black resigns} 1-0","black"
"107","FICS rated standard game","PEXAN","MrsLurking","2283","2320","84.9","42.8","1800+0","2017.01.31","02:23:00","0:30:00.000","0:30:00.000","B95","191","1-0","1. e4 g6 2. d4 Bg7 3. c4 c6 4. Nc3 Nf6 5. e5 Ng8 6. f4 d6 7. Nf3 e6 8. Ne4 Bf8 9. Nxd6+ Bxd6 10. exd6 Qxd6 11. c5 Qc7 12. Bd3 Nd7 13. O-O Ngf6 14. Ne5 Nf8 15. Nc4 N8d7 16. Nd6+ Kf8 17. Qf3 h5 18. Re1 Kg7 19. Kh1 Nf8 20. Re2 Bd7 21. Re5 Ng4 22. Re1 Nh7 23. Bd2 Nhf6 24. h3 b6 25. Kg1 b5 26. hxg4 hxg4 27. Qg3 Rh5 28. Re5 Rah8 29. Rxh5 Rxh5 30. Be2 Rd5 31. Be3 Rxd6 32. cxd6 Qxd6 33. Bxg4 Nd5 34. Rc1 Qb4 35. b3 Nf6 36. Bf3 Nd5 37. Kf2 Nc3 38. Rc2 Nd5 39. Be4 f5 40. Bf3 Nf6 41. Qh4 a5 42. Bxc6 Bxc6 43. Rxc6 Qe7 44. Kf1 Qd7 45. d5 {Black forfeits by disconnection} 1-0","black"
"108","FICS rated blitz game","Rookie","josephalee","2371","2415","28.8","68.6","300+14","2017.01.31","02:34:00","0:05:00.000","0:05:00.000","A45","108","0-1","1. d4 Nf6 2. c4 e5 3. d5 Bc5 4. h3 O-O 5. Nc3 d6 6. e4 Na6 7. Be2 Nb4 8. Nf3 Bd7 9. O-O Qe7 10. a3 Na6 11. Bg5 h6 12. Bh4 g5 13. Bg3 Nh5 14. Bh2 Nf4 15. Bxf4 exf4 16. b4 Bb6 17. Nd4 Qe5 18. c5 dxc5 19. Nf5 Bxf5 20. exf5 Qxc3 21. Rc1 Qxa3 22. Bd3 Nxb4 23. Bc4 Rae8 24. Qh5 Nd3 25. d6 Nxc1 26. Qg6+ Kh8 27. Qxh6+ Kg8 28. f6 Ne2+ 29. Bxe2 Rxe2 30. Qg7# {Black checkmated} 1-0","white"
"109","FICS rated standard game","MortimerBlackwell","DumboBUNNY","2383","2133","37.6","95.5","900+10","2017.01.31","02:11:00","0:15:00.000","0:15:00.000","B67","47","1-0","1. d4 c6 2. c4 d5 3. e3 Nf6 4. Nc3 g6 5. Bd3 Bg7 6. Nge2 Qa5 7. O-O Bg4 8. cxd5 Nxd5 9. f3 Bd7 10. Nxd5 cxd5 11. Bd2 Qd8 12. Qb3 Bc6 13. Nf4 O-O 14. Rac1 e6 15. Bb4 Re8 16. Rf2 e5 17. dxe5 Bxe5 18. Rfc2 Qf6 19. Nxd5 Bxd5 20. Qxd5 Nc6 21. Ba3 Rad8 22. Qb3 Bb8 23. Be4 Qe5 24. g3 Qg5 25. f4 Qh5 26. Bxc6 bxc6 27. Bc5 Rd1+ 28. Rxd1 Qxd1+ 29. Kg2 h5 30. Bd4 h4 31. Rxc6 Qe2+ 32. Kh3 Qh5 33. g4 Qh7 34. Qb7 g5 35. Qe7 {Black resigns} 1-0","white"
"110","FICS rated standard game","josephalee","ArasanX","2121","2709","219.3","35.9","300+15","2017.01.31","02:03:00","0:05:00.000","0:05:00.000","B48","120","1-0","1. e4 c5 2. Nf3 Nc6 3. Bb5 g6 4. O-O Bg7 5. c3 Nf6 6. Re1 O-O 7. Bxc6 dxc6 8. d4 Bg4 9. e5 Nh5 10. h3 Bxf3 11. Qxf3 f6 12. e6 f5 13. dxc5 Qc7 14. Na3 Be5 15. Nc4 Bf4 16. Be3 Rad8 17. Rad1 Bxe3 18. Qxe3 Nf6 19. Ne5 Qc8 20. Nf7 Rd5 21. Nh6+ Kg7 22. Rxd5 Nxd5 23. Qe5+ Kxh6 24. c4 Nf6 25. g4 fxg4 26. h4 Rd8 27. Qg5+ Kg7 28. h5 Nxh5 29. Qxe7+ Kh6 30. Qg5+ Kxg5 31. e7 Re8 32. Re5+ Kf6 {White resigns} 0-1","black"
"111","FICS rated standard game","GriffySr","Tosea","2166","1859","24.6","32.8","900+0","2017.01.31","02:01:00","0:15:00.000","0:15:00.000","B06","89","1-0","1. d4 Nf6 2. Nf3 d5 3. Bg5 Ne4 4. h4 Qd6 5. Nbd2 Ng3 6. fxg3 Qxg3# {White checkmated} 0-1","white"
"112","FICS rated standard game","Tosea","GriffySr","1845","2180","32.8","24.6","900+0","2017.01.31","01:55:00","0:15:00.000","0:15:00.000","A51","59","1-0","1. d4 Nf6 2. Bg5 Nc6 3. d5 Ne5 4. Nc3 e6 5. Nf3 Be7 6. Nxe5 Nxd5 7. Bxe7 Nxe7 8. e4 d6 9. Nf3 a6 10. Qd2 h6 11. Be2 g5 12. O-O-O Nc6 13. g4 e5 14. h4 Rg8 15. hxg5 hxg5 16. Nd5 Be6 17. Rh6 Bxg4 18. Nf6+ Kf8 19. Nxg8 Kxg8 20. Rdh1 Bxf3 21. Rh8+ Kg7 22. Rxd8 {Black resigns} 1-0","black"
